LibSize;Observed;cases:V1;cases:V2;cases:V3;cases:V4;cases:V5;cases:V6;cases:V7;cases:V8;cases:V9;cases:V10;cases:V11;cases:V12;cases:V13;cases:V14;cases:V15;cases:V16;cases:V17;cases:V18;cases:V19;cases:V20;cases:V21;cases:V22;cases:V23;cases:V24;cases:V25;cases:V26;cases:V27;cases:V28;cases:V29;cases:V30;cases:V31;cases:V32;cases:V33;cases:V34;cases:V35;cases:V36;cases:V37;cases:V38;cases:V39;cases:V40;cases:V41;cases:V42;cases:V43;cases:V44;cases:V45;cases:V46;cases:V47;cases:V48;cases:V49;cases:V50;cases:V51;cases:V52;cases:V53;cases:V54;cases:V55;cases:V56;cases:V57;cases:V58;cases:V59;cases:V60;cases:V61;cases:V62;cases:V63;cases:V64;cases:V65;cases:V66;cases:V67;cases:V68;cases:V69;cases:V70;cases:V71;cases:V72;cases:V73;cases:V74;cases:V75;cases:V76;cases:V77;cases:V78;cases:V79;cases:V80;cases:V81;cases:V82;cases:V83;cases:V84;cases:V85;cases:V86;cases:V87;cases:V88;cases:V89;cases:V90;cases:V91;cases:V92;cases:V93;cases:V94;cases:V95;cases:V96;cases:V97;cases:V98;cases:V99;cases:V100
10.0;0.09227737120856751;0.08884534883113297;0.13599898719073372;0.0642676828904104;0.08234036512638614;0.08600007201481263;0.07062600769677106;0.11356745585535025;0.08491277497855827;0.1035494079805948;0.10097766071909234;0.07037047349897094;0.09953229900475538;0.1032299024454233;0.10849468242949441;0.10192983599497592;0.10904899370109448;0.06808448036536356;0.07638706567989953;0.11705875413372106;0.12378665293548788;0.1403553858201113;0.06549503427959681;0.11920085193136536;0.06321337057248175;0.09680251725786664;0.10482979947398888;0.07342828077067977;0.07870995713209541;0.09475977270714615;0.13737421132075253;0.10335443104885167;0.07659193456824143;0.09260705304442031;0.11408532771661703;0.10315046774398387;0.13133120342630442;0.11693036278185875;0.10547965079707264;0.12352753104216589;0.10050193058880483;0.09389245481417559;0.0533757234677245;0.05095676454336562;0.13861058428081616;0.11578384447516159;0.11908557129012946;0.11998840086132348;0.09625116662617099;0.09394509356294317;0.11532764628429401;0.12236179396955882;0.1375700929107713;0.09869126768054026;0.09186064240521337;0.14760516530258366;0.10890745790536716;0.11179926508014262;0.06969409019338943;0.09531557480018693;0.1442432724233881;0.130017600610767;0.0689504146458461;0.11170097400568224;0.15706694146284614;0.0797142895477598;0.11484863045662926;0.15510973713183746;0.10728597363701602;0.10692597904416101;0.11917397691813177;0.10357400005847502;0.15760262019997132;0.05987265568119234;0.09086804947044844;0.031339655800403925;0.059360577910012716;0.048626869929825955;0.10494342452360542;0.13510453548767723;0.06115781553799936;0.06527492468997025;0.14464160681004834;0.09757991642355679;0.10899713719769251;0.06787916924228683;0.07411046978810686;0.15245089723200705;0.07492462828813792;0.15543649644016339;0.11049926069569234;0.1058810923950245;0.10366328327273748;0.12932405963355678;0.10308739614246623;0.10488383956440775;0.1178323967839358;0.09808031079708363;0.09532890021575727;0.13642087522307772;0.10100135902083049
20.0;0.14805281782811763;0.18230615976655445;0.16210344545699967;0.17640270755256465;0.16284344910661042;0.18045094614668436;0.16737435612050616;0.13400938765625323;0.08094268012426141;0.18967593484835826;0.16517434770564743;0.18713345454415303;0.14857837778534758;0.14123618922248768;0.18087719930675833;0.2192435692128726;0.17120963042099957;0.16893399928948855;0.12591422354919052;0.18867834773082148;0.161509831953711;0.1707942289405256;0.18173454192260718;0.11932567870952697;0.1566616188784514;0.12256275740096786;0.1638233719266921;0.17497412779351396;0.09306672689105758;0.145110433129515;0.1743952637995107;0.17393197965101304;0.1585283778811556;0.13640751412790064;0.19396044369238635;0.1631588327713088;0.1682346599908245;0.12931655476352927;0.15639490078442828;0.17002533294184935;0.19786991797006476;0.17752896316057712;0.1646691248556142;0.12692846899498317;0.12929289792390802;0.21257175233427134;0.20954752324818965;0.1830096219161544;0.1454052477969075;0.1291819615528143;0.1224739617219267;0.12999598621307756;0.16121399304127126;0.13097407796216165;0.1480784187476772;0.1445976260853826;0.1490063559127628;0.16518840688358166;0.21026875791388977;0.19603041061251048;0.17135653746084747;0.17101454035772953;0.17692058140483286;0.16167210001150553;0.10938795239134999;0.22793514369264423;0.14120040146286914;0.18370005294429143;0.14508933394726511;0.13518094773248993;0.1905119251401786;0.11440923819957775;0.1983832215774342;0.1454769012995992;0.16470953899883325;0.17802912491605524;0.16801186699596507;0.14451676246928236;0.13186892484480567;0.17572511567175603;0.163095672057398;0.14262572734060192;0.13140572760848893;0.12764793283667109;0.19249738964126348;0.14285245223030102;0.15780349246201378;0.1831354420769064;0.17826594506522153;0.17043530092218726;0.16826880510943337;0.13810005222479788;0.17707413877215586;0.15931598987965723;0.16332497102154142;0.16961993361276378;0.15171122241095242;0.18067293242995558;0.17577296587527594;0.19435749971123106;0.12594378605952067
30.0;0.1850060526030392;0.19547394738351165;0.21665449103708503;0.21086361858921662;0.1571285076080105;0.16918161020031086;0.199066429317397;0.1632030246640307;0.18656688366167465;0.2567377040289572;0.18016658866947374;0.21375825783053298;0.22378789676702118;0.23784655589322598;0.21543243634047612;0.2437060799644783;0.18418577593484903;0.2794213242545753;0.23368176314340516;0.2048367253094742;0.2033834213448716;0.16838539272904735;0.23906432266947092;0.2013258103940645;0.18804688718861887;0.15314670933553026;0.27729910462999496;0.24434941775038407;0.17243589802912215;0.1972204909617013;0.20020671403275783;0.13530716754247737;0.17491117470756923;0.237412995242161;0.24439773199231282;0.21352472597673824;0.24021062858849512;0.21666986336767607;0.22939339922144303;0.20088590984243848;0.2341694498244157;0.25450132169488343;0.16939099590739942;0.1930420678561323;0.17646879626186024;0.2032510412377523;0.22033269723391982;0.20175664882476269;0.16654621423010268;0.22627087861152778;0.17644409031910868;0.23550745604411266;0.23187713489668563;0.18047544984476102;0.1925058842026927;0.2535505458419609;0.20115909820186778;0.2059775677803795;0.19748093336049796;0.16099314763427316;0.2120266017549209;0.20933340388556818;0.2297161286224886;0.2196860327199846;0.1554801538761476;0.23222190601199144;0.2228863633416282;0.15272791552155596;0.19463885564460998;0.1929823347698982;0.20137904277450155;0.2197037988157236;0.19221354360905568;0.1995249031350525;0.19816254318988114;0.15570531165838775;0.20434686823138218;0.1932544713996666;0.1732564453697359;0.19107230225366223;0.19412013224402996;0.15684579619831532;0.1190743063881146;0.1907761636899424;0.2178952950288978;0.18780106541853775;0.19988858921707048;0.18619025924626778;0.24289958202334438;0.1713625613018903;0.1938696553694289;0.19843043780468983;0.19374978583217245;0.18854239974481332;0.22215891341084898;0.1869765451831357;0.2285428303495538;0.2018481589817774;0.22031810798613644;0.22350416993279348;0.17707926272172933
40.0;0.2693512734490449;0.27573081677688777;0.19207393720878668;0.2141802207529809;0.2484836902423488;0.2031502102696851;0.21540682965683872;0.25748506832526086;0.18864291808687653;0.21645434058568286;0.21339379304195755;0.2534167472605628;0.21386983383284347;0.2203003133786004;0.2442358535036453;0.23276254354111486;0.19766791419899363;0.24741532051243564;0.23420171931470857;0.2594015172010041;0.2316606743096461;0.2523796063393115;0.22145145695779558;0.2486292336715338;0.21137763276085061;0.2434644476724082;0.22656462209747477;0.28394232051228735;0.16251114826523344;0.21190283609508134;0.2595859941107717;0.23777357773892147;0.1877628611748527;0.24399049596004643;0.2884861853811492;0.27418412459412533;0.2620457680879114;0.2314856399301915;0.26812476709018745;0.24327692962743788;0.22996564457550717;0.26772465833016423;0.2549865479795192;0.20573561440696633;0.20174807878070466;0.2762570115355411;0.24079345193109702;0.23694435502275984;0.24844894264633152;0.23989311725150184;0.19635422608288683;0.20590946293623963;0.2528966112591352;0.23739920050843008;0.18638796637900099;0.21793582765897684;0.2660920928997416;0.24129160751721335;0.2684449644887362;0.20018387466284265;0.23603235006841108;0.23782752238614774;0.2425345650528179;0.23952801447578415;0.22170356999058433;0.2646819605771425;0.24111810607088663;0.22415420747855172;0.2623106327177479;0.19594371765488708;0.22652350005374816;0.19942334440764062;0.25674259614865813;0.26545726660501595;0.20704595474701826;0.20628386897980372;0.18813434491111058;0.23191703615581388;0.22499122116071707;0.25068640651934226;0.21369340847827586;0.25262264787106475;0.22833802369160755;0.2572048592393663;0.23942287944500115;0.2610150010452409;0.23074879671028814;0.22147687058139337;0.2717543725533539;0.2186238592345954;0.22511210198367965;0.24977269730372975;0.24537432644026586;0.20568427194664576;0.2342986068722305;0.2193974646362123;0.21646345628489766;0.1984227215127395;0.18190682032253536;0.2502403175046526;0.2243898323435022
50.0;0.2566091102418085;0.2448490127915229;0.24128707356378679;0.24996261246175905;0.2188030476999145;0.26083554150049204;0.22741404322448028;0.2651284139412624;0.2377182166698641;0.2898093586996783;0.2449992413573358;0.26458156024738716;0.2502189638573659;0.25632982048726094;0.2786238015161744;0.27626498544153444;0.20836674481806866;0.3269705917148288;0.308959237845505;0.26386829439027726;0.22604732803713357;0.2720344097532242;0.2775600301106684;0.2542806117829771;0.25893546363030795;0.27461139591832645;0.25979558509883743;0.32434076813474355;0.18538285147217404;0.20119774308918936;0.25811702572084966;0.25805203333423277;0.21224418204886245;0.2567228178580657;0.27927004064348254;0.27295229728668835;0.28567526658761133;0.28405371434114907;0.26490547182444507;0.2136663302728233;0.3368405542479819;0.27503507075535877;0.2781956438353428;0.215580345526782;0.25263880535380057;0.2623158337018894;0.2685511206306446;0.2575961051494326;0.22878404783114153;0.265884479531607;0.25988069225505916;0.27470972961795814;0.26635863087506406;0.2650692679306536;0.23851640422460335;0.2662097203259023;0.2735025593063405;0.2185893365440253;0.25869548858958574;0.2603902457336653;0.2765463303208857;0.28561936716492187;0.2975654791024614;0.26073208750397303;0.26385414852452965;0.260721688190532;0.23893116026897152;0.23251616735761244;0.2463707876381811;0.22276337019519601;0.28508848177848656;0.29220568394603597;0.2774123581166009;0.24615992293780434;0.2298844319728836;0.26323824976504556;0.26539885421782217;0.24284990241052196;0.24152261276234674;0.2611193839536433;0.2512063415853995;0.2151498958011268;0.2087662333997704;0.2634059040145561;0.23503924045446056;0.22834079487875916;0.23329417380168221;0.2575574643184902;0.2922871587675021;0.2527249732934748;0.2531421861247215;0.26633433894209385;0.2808900300209901;0.23527900584525469;0.2354276447363281;0.25798237836880283;0.26807043619900817;0.26578058783051584;0.2520558089350959;0.26609656843703977;0.22423325539640682
60.0;0.2726937762814916;0.33501898502798977;0.30459576254569104;0.26633557068421904;0.2856730083188833;0.28228510102774435;0.2234358708104837;0.2805922005831752;0.274964197658344;0.31722112044222595;0.248309715019475;0.28559312438032514;0.31011587452291794;0.29846495117611205;0.27791048302114063;0.28020361999034643;0.2717760457169545;0.2964316163783598;0.3262772954076478;0.2901657865120569;0.2625929081056675;0.3273972422337335;0.29369020710507326;0.2849203517765009;0.2635173349050019;0.2739324987591941;0.2899634592875507;0.3268965056291525;0.22689104097536655;0.21312042289213365;0.3041637564508166;0.2654716113256379;0.21472844773983618;0.27434333446627757;0.37734508506051;0.284297729517481;0.3037708583091191;0.30284669441904516;0.3113926985123875;0.289749041954796;0.3271122789098794;0.2751551822981117;0.2651699508726512;0.25797981375738627;0.2812528037137866;0.3127554279852528;0.3125107644558606;0.29782917760063776;0.26667527156899645;0.2865028618300879;0.22797844553062613;0.32390551907668147;0.31346412901728204;0.3046151297498673;0.2987087648715097;0.27858703341466007;0.25406024689815165;0.25688327542108236;0.2785790583934743;0.2771123475521412;0.2771871638799716;0.30033833487020456;0.31298813130908226;0.28715655606843865;0.2905872430512496;0.30215442080938054;0.26352074705575035;0.2679518914446154;0.27353203582557123;0.27460540513656384;0.28894991885800275;0.30239694303764564;0.3034808000957215;0.2417054278538236;0.20623407816269249;0.2860634032865438;0.2961221138628481;0.2658777027625914;0.2390447531832066;0.2682363266296707;0.2938008854753049;0.23840912321431845;0.26476699868412956;0.26698835849304636;0.2760848294412967;0.2503417445132595;0.28498170194967726;0.273527208131614;0.27808692074141766;0.3332097026475721;0.25549977437390575;0.28158825199136844;0.25396463610667663;0.28003116592777355;0.23618797974185562;0.25494986963964683;0.2735116742682183;0.26900652363590843;0.33138108884161144;0.3166929480886;0.2363532141275436
70.0;0.30516173240293215;0.33044500365732843;0.32145707753694086;0.2817113574067022;0.2770975626622735;0.26243416934016295;0.2507680347185482;0.3109385605127943;0.24576470415517343;0.32358845083375726;0.2700120362725443;0.2798669517445204;0.2946937151493684;0.31722408900200316;0.277020356578373;0.31674365488376555;0.29590698656673303;0.33289585002423194;0.323210505376954;0.2866463826350266;0.3109832798605141;0.294552592375987;0.3001146881525903;0.30899766847326743;0.2859628845520265;0.26155920925068255;0.2990379983993397;0.32795575569189667;0.27923655597377206;0.2418338574205748;0.2964954287592945;0.2596240868373662;0.24933761852190622;0.2767271630509241;0.34494238113565495;0.26789705353490084;0.3256180255865886;0.31898308294514743;0.30076681964769303;0.32565584766760003;0.3282889791110506;0.3163450861136769;0.2681191694335405;0.2572544465415164;0.26848955689028686;0.31115719993163904;0.35366260020681867;0.2607164692070837;0.2669324875794915;0.2530158459291183;0.25726100495120324;0.30113261420555787;0.3329688506931646;0.3129674529344989;0.24814207320659998;0.2976838616498509;0.2930816119367815;0.2758365278167752;0.3109842040905704;0.26892291875752555;0.2951098212587079;0.30852885058304896;0.3428096801081869;0.2978152418452963;0.3066300206156546;0.3259668320227822;0.2768633673132352;0.2810276180343699;0.2901350171096167;0.3088222979371677;0.29263734273630293;0.3059788164035477;0.34581616702233364;0.32824607131055994;0.2418837934893488;0.307246755401097;0.3155417548494558;0.2895228891972982;0.29529929861355086;0.326791032181598;0.28098111079150867;0.27303836209584076;0.2887329252531975;0.26720879281588783;0.32117564283087896;0.2791786879250842;0.2757965050379908;0.26811536272497744;0.30384306646769316;0.3189917826532082;0.25268128381973165;0.30947114586121643;0.29903974562470614;0.26820223586126446;0.2844485086080866;0.23874692155045954;0.30246560387544535;0.2532177546490704;0.3199134777692468;0.2913339804008775;0.27662429464574023
80.0;0.26058974991535533;0.3344703724008175;0.31403115287368566;0.2785293773336087;0.30968991793614664;0.3163405631328967;0.3015947994685765;0.2900262784921514;0.29599360685957177;0.25787363877442043;0.30005258121038175;0.2979932205155371;0.28476845120009264;0.30765487731188274;0.3406744061600814;0.3141186038291161;0.2719959219152494;0.3540019033380048;0.35086300614042104;0.3267833693305467;0.2993093659844757;0.30127575900437;0.32806327071794283;0.33111176249238555;0.2820888277394088;0.31088016173413036;0.34417282880203476;0.37653043377005657;0.2994351388020689;0.2691521866545483;0.3026948642212019;0.30610988177431175;0.2687005243054255;0.3249390108998991;0.3305433053942245;0.2940041390571638;0.33351002843767197;0.28427649183553194;0.3349648869046946;0.3096356466304158;0.3489349240881165;0.3428704435673441;0.2655980310184406;0.2849384774174072;0.3270596466029846;0.32673803070574453;0.3258054249404958;0.284206783094146;0.30358657977854164;0.3034468920740723;0.27171965988307567;0.320262357512394;0.3160446365798772;0.3265057153219029;0.29982998025041885;0.3044282208752411;0.31191440881535343;0.26250609618832793;0.3344554033230452;0.2829215520431419;0.32459485770355573;0.35093517919486655;0.34156796009808055;0.3256563163832218;0.29651519070502663;0.3495648340423295;0.3206935986994957;0.28661692077530915;0.28222558254581565;0.3027223458396894;0.30384038051014445;0.319672755985654;0.3237997233988141;0.3302796095803584;0.2649522482294488;0.32489577996316693;0.31136536547397975;0.31058906961336435;0.3057232607036691;0.310683970415529;0.275987077613755;0.2957946625247011;0.2894694159020676;0.30313863106966454;0.3081635005206823;0.29225700702060786;0.31822060044842326;0.307596815791472;0.31628005650891866;0.31208539858990725;0.3019272071328869;0.31130825081320235;0.3318827628155421;0.3030557825811214;0.33109023892498957;0.27393930906003694;0.3276829273624966;0.2882649229660067;0.33502864654250314;0.3245982411110083;0.29079293431174236
90.0;0.32492740790521235;0.344927317595588;0.31242525715988145;0.31722085553087365;0.3041600805851486;0.2962435682768425;0.3126186660411444;0.3009582362258145;0.2735677529470275;0.31794963101637497;0.2958824049800989;0.3151157370826953;0.31666968426330594;0.3045621654023679;0.2837919689131615;0.34937571384139526;0.3004168804833243;0.3473934803399653;0.3571357987611811;0.3242220427054623;0.33833774155330126;0.35108754656533425;0.3233371540431086;0.3298148308225701;0.30118280233539074;0.30552170351146907;0.37082551777653827;0.37265438414831065;0.2868831426556125;0.25963455674407965;0.3408785778940617;0.3064438019879684;0.27818300906015125;0.31389991805673667;0.3562080066289389;0.323207079468942;0.3546925673922198;0.29154958314501955;0.3175427776299647;0.3714444635176189;0.3815256509026427;0.3330168402179877;0.3154347967396719;0.30077254475258386;0.30485354597588793;0.35874945846247325;0.32720406886379305;0.3419315665999187;0.3041140274496507;0.31601061481076725;0.2953411398103619;0.3122956221793755;0.329066468804741;0.3041367038114376;0.30726277879787883;0.31458568599489467;0.32742441254723026;0.30812435805395477;0.34306154767636515;0.2691393493649427;0.3168094487090539;0.3559241615155862;0.33353856200271953;0.35093386236177926;0.32143233838157825;0.34676007932530883;0.32658934488891084;0.26885236434886756;0.34348457338349786;0.31616123995978784;0.31202816530994715;0.3300419736919207;0.31032591884366517;0.3034215029882502;0.29310084330158903;0.3192459246029615;0.34350853206080567;0.302504735473939;0.298802669347927;0.2996207049000745;0.31621165502955695;0.32424112241321784;0.2927114420445753;0.2983386082160438;0.29445938138947114;0.29499272025228374;0.3296957669803707;0.2724976766557744;0.33534988038421054;0.37615354796584577;0.2778192725350447;0.3392483414940047;0.3091842004260291;0.3109763787472515;0.34266068383624704;0.29631456485732377;0.32605892958861726;0.27385817690250025;0.3196430786569978;0.3028643691120731;0.31193568916670567
100.0;0.32343600157932323;0.3568374383923168;0.34758579144609697;0.3159487133073383;0.3175272180945061;0.31655144266653173;0.32271462399300777;0.3219612879120536;0.2715718278773535;0.33140062556498207;0.3223003262253548;0.31799959018126045;0.3318603532223807;0.34093815867324573;0.3341918672622749;0.35292449133084003;0.28751514645558945;0.3796141006889216;0.388559364633421;0.34298232349554614;0.3250766459122703;0.3511168279621757;0.31743086376275187;0.35140147738335503;0.3336398888598514;0.2845209042007618;0.326870742511966;0.3738523908961765;0.28892761203263495;0.2529175019620415;0.33554848336407744;0.2968019553702753;0.2732589909244692;0.341418947995219;0.3694265023465738;0.33544319527529265;0.36770439924057097;0.3483743232094822;0.3699523880073695;0.3458254324252209;0.37644072159172953;0.3192619708092538;0.30163693845738165;0.28090642623136314;0.331428273633538;0.3624089365880482;0.371025402446156;0.32699910584242886;0.3056076035910332;0.32134241807695757;0.32267952796106636;0.335301111138904;0.35848214457941757;0.3260909574528784;0.29725443240321564;0.3238785288280952;0.30717518824672313;0.30020147712795414;0.3345330719745794;0.3349688572098043;0.33592777365098797;0.3460499315865612;0.35008168376518245;0.3354622101090617;0.3188333090220128;0.3762138065990591;0.3320837067146139;0.29548062898920546;0.3205417670385368;0.3009602417712684;0.3416011426472594;0.34626184935889726;0.34586168055909694;0.3459323788723144;0.29231321588770187;0.3525657760625086;0.3148702790343457;0.3051020651379602;0.306792110503599;0.34356842767058293;0.30831493287871126;0.3162497607208913;0.3053999233814463;0.29922557448968823;0.3378745574498708;0.292348865946393;0.30610136811418226;0.29220533535222576;0.35688673843604957;0.3461090881802111;0.3034690496798643;0.3277152547407086;0.34243934134583903;0.331649536393461;0.30101335478571833;0.315473176528396;0.35060231199967673;0.2903267141575458;0.33182217838913036;0.325346768851941;0.30275759847687567
